kill11,death11,damage_done11,damage_taken11,shielding11,kill12,death12,damage_done12,damage_taken12,shielding12,kill13,death13,damage_done13,damage_taken13,shielding13,kill14,death14,damage_done14,damage_taken14,shielding14,kill15,death15,damage_done15,damage_taken15,shielding15,team1,kill21,death21,damage_done21,damage_taken21,shielding21,kill22,death22,damage_done22,damage_taken22,shielding22,kill23,death23,damage_done23,damage_taken23,shielding23,kill24,death24,damage_done24,damage_taken24,shielding24,kill25,death25,damage_done25,damage_taken25,shielding25,team2,winning_team
4,2,16569,20484,0,8,4,27733,23569,0,15,2,40641,26433,0,16,2,45036,42997,4388,11,3,35924,20330,6671,1130686999,2,11,19688,31753,0,5,13,35709,39849,0,2,12,35438,40993,0,1,13,15497,33311,0,3,5,27481,19997,0,22034286047,0
6,15,86067,65902,0,17,19,89670,55398,0,8,14,96560,134359,56397,16,14,69823,47824,0,0,16,37740,56258,0,1405742807,16,14,72442,54998,0,25,7,90272,48266,0,17,9,79454,174736,85324,3,5,15668,39081,0,15,12,101905,62669,0,145074095,1
5,4,24049,18320,0,9,7,30628,26241,0,5,10,18753,35317,0,3,10,16505,24871,0,5,9,18366,24207,1050,1825110877,12,3,24294,22417,0,5,10,22267,21324,0,12,4,34652,18851,0,7,5,23765,23313,0,3,6,23978,22396,0,1224048733,1
8,11,35168,33712,8664,5,9,27261,30918,0,13,6,48916,31475,0,8,11,37945,43884,0,0,6,9353,19358,0,10468236719,4,9,28986,39744,0,9,6,40310,36703,0,15,6,42381,32717,0,7,8,27454,25168,0,6,7,20216,24311,0,3038187767,1
18,5,64082,28519,0,8,10,42036,34512,0,6,4,40124,25787,0,5,5,36048,69126,17779,5,7,29142,34873,2770,477890039,6,10,49081,29280,0,6,8,26348,75684,22515,9,8,30564,32980,0,7,7,53453,40153,2084,3,9,33371,33335,0,716365273,0
6,13,31568,63028,0,6,10,26841,44045,0,6,12,29681,86659,30879,5,11,46952,43728,0,1,11,13352,45055,0,270500699,8,4,32448,24573,300,7,6,72086,30912,3539,4,4,41069,31834,0,23,7,87126,37318,0,14,4,49786,23757,0,6542922121,1
2,10,31318,42339,0,3,15,17001,29281,0,8,15,38540,56956,0,7,10,49239,38817,0,1,12,8374,65735,74393,1187404345,6,6,29893,32417,0,4,6,33356,22673,0,13,3,40025,34620,0,16,4,64960,29031,0,22,2,64894,25731,0,11140545887,1
7,6,20785,23996,0,4,10,16826,26551,1090,3,8,21667,25881,0,4,5,16592,23032,0,8,11,34864,30334,0,1666992667,13,5,26493,27237,0,4,6,17735,14451,0,7,4,24798,26227,0,9,10,32820,23968,0,7,1,27948,18851,0,3471335479,1
1,10,53476,38530,1834,2,14,24452,41843,0,0,11,6247,63894,67856,7,12,34969,33790,0,7,11,49449,54812,0,788943635,2,2,21035,21740,0,8,2,39964,14426,0,14,3,61989,67240,1689,24,3,64523,32291,0,10,7,45358,32896,0,1214788913,1
10,14,29957,139777,64827,5,10,60297,40857,0,10,13,65139,37964,0,11,15,36804,66955,0,8,13,36150,73152,0,1284495971,19,8,104546,41526,0,15,10,58404,32236,0,10,9,44777,55985,0,7,8,72348,63587,80699,14,9,78630,35013,0,309936513,1
8,6,46621,30584,0,3,14,19988,48643,1350,5,13,39451,44466,0,4,7,21228,73054,15472,0,7,17684,24644,0,38868389,8,3,50360,25869,0,7,6,41326,18455,0,4,1,18787,18775,0,18,2,51925,34114,0,10,8,58993,47759,0,1788421039,1
23,6,70879,37080,0,3,4,25057,24847,0,7,8,53421,32842,0,14,8,57086,35994,0,5,5,53714,100245,28985,1882537687,5,11,29792,31278,0,5,14,64219,48123,0,5,7,38269,98376,40717,10,8,50816,31885,0,6,12,47912,50495,0,641381411,0
25,16,98542,84352,0,6,11,33274,50496,0,9,16,85582,128800,59376,23,14,135527,93674,0,19,15,85397,69909,0,229702106,13,22,89615,111166,0,18,15,104911,71461,0,11,17,55548,56038,3250,22,16,109508,61547,0,7,13,67649,138110,0,3832378007,1
13,4,42698,26757,0,7,6,51583,22800,0,8,3,35053,17636,0,3,6,26305,26557,1800,5,3,38234,83718,41700,3691482353,2,5,26094,27861,0,4,11,41172,31671,0,7,6,66805,36290,4010,2,6,11208,24789,0,7,8,32189,73262,7119,349870261,0
2,14,44388,46374,3483,13,6,111233,94378,24569,9,11,46775,46001,0,17,10,105020,43774,0,21,8,102493,56420,0,250046381,12,13,53877,66395,0,1,13,31735,73439,0,12,8,80880,149247,69709,7,12,54119,57131,0,17,16,66336,63697,0,1083249343,0
4,2,10194,19961,940,4,1,22201,26232,0,19,4,40162,37575,0,4,5,13269,26950,0,4,5,17087,27663,0,13498330753,3,7,40677,19107,0,0,7,2830,16949,0,4,8,25258,26761,0,5,10,32829,19774,0,5,4,36787,20322,7233,1822626259,0
9,9,64140,48496,0,18,15,82104,52081,0,0,10,30493,46735,0,9,13,49108,46295,0,15,10,76966,135350,0,13302737809,21,5,116151,127077,95810,3,16,39605,43967,0,12,11,70484,42796,0,16,12,76528,54849,0,5,7,26189,34122,0,101011413,1
14,15,75238,40808,0,9,8,62959,35825,0,0,9,13701,47214,0,20,10,77090,43172,0,5,9,42828,42685,1308,15403673227,19,13,56707,48484,0,12,11,54295,40051,0,10,11,34768,40372,0,5,5,41735,87771,41750,5,8,22199,55138,5034,319646615,1
4,16,51103,94634,43898,9,14,31312,46178,0,4,16,66853,58606,0,17,11,124986,137024,28207,7,14,68160,48706,0,91225927,23,10,85735,51426,0,17,9,92720,171705,44613,3,5,21929,28518,0,14,7,96459,34400,0,14,10,88305,56365,0,1517667931,1
11,12,133699,55851,0,5,9,49755,49697,3115,14,12,87085,49157,0,10,10,71279,39631,0,6,18,48773,131543,24704,709959649,19,10,82656,63673,0,4,7,21671,60888,0,17,10,84877,50218,0,18,10,78366,124683,6105,3,9,58309,91129,0,927345913,0
5,4,39984,55004,43435,1,8,24368,25257,1400,17,8,46276,28091,0,12,9,31339,36057,0,11,8,37668,34355,0,263416178,8,10,35586,29731,0,9,8,37077,27491,0,10,10,41849,31989,0,5,7,25042,61088,63083,5,11,39210,29336,0,105605945,0
11,12,32644,36089,0,8,9,50469,29599,0,4,11,20144,30363,0,4,10,27711,31135,0,5,8,12126,36411,4068,1139963303,2,6,14900,29949,0,21,5,57407,27267,0,8,7,43828,28194,0,1,6,8954,30579,0,18,8,38508,27105,0,9631362407,1
1,5,15358,23505,0,19,3,57916,58393,0,17,7,48693,53065,0,12,7,60376,33180,0,8,5,54441,22244,0,943713389,2,7,30334,21277,0,5,14,45370,37550,0,3,12,39904,42610,0,3,10,23474,90333,26761,14,14,51305,45014,0,1725233899,0
8,11,37131,50783,0,6,15,84962,61338,0,15,15,77972,153673,20315,3,16,27794,52499,0,20,9,58201,45585,0,1294062601,13,13,41303,44106,0,10,12,80189,115555,21841,16,6,88762,31420,0,16,8,92750,33483,0,11,13,60874,61496,0,625175153,1
13,7,59784,48951,0,7,9,58939,52050,0,10,11,60549,96949,14176,11,11,53919,38119,0,15,12,55861,49433,0,495705703,8,13,67019,104978,93731,1,11,4434,53921,0,15,13,83134,48783,0,15,13,79422,43786,0,11,6,51493,37584,0,412643589,0
26,21,101912,98125,0,11,15,42925,58205,0,31,12,102162,142500,11260,12,21,55082,61201,0,9,19,60803,63162,0,548696317,17,16,86863,50073,0,20,18,123852,83455,0,16,19,98320,60612,0,25,20,73728,96617,0,10,16,40430,72127,0,13604048587,0
1,7,18298,19726,0,8,8,36027,28591,0,0,7,13200,24947,1200,2,9,18620,33828,0,0,6,15313,43366,37539,177988341,9,4,39622,22516,0,5,1,14818,9145,0,8,2,34829,31984,6643,5,2,25205,24880,0,10,2,35984,12933,0,430312753,1
4,10,57395,27098,0,4,12,30214,76682,0,5,11,54592,36443,0,0,10,31276,35805,4286,6,12,41523,50266,0,983461147,6,4,39499,45566,0,7,4,27871,25968,0,17,4,39426,37538,0,20,2,70914,77124,5530,7,5,48584,28804,0,1365437281,1
4,0,23012,15265,150,14,1,39345,17254,0,5,1,43438,37501,20872,10,3,44702,28527,0,0,2,10186,18058,0,574392821,0,6,6279,20571,0,1,8,40664,40319,0,3,5,13459,17705,0,3,8,34560,60164,1400,0,6,21643,21924,0,1311724453,0
19,22,86840,103334,0,10,21,63625,77444,9693,8,17,63965,68279,0,11,17,82592,149000,57115,7,24,63612,69467,0,233028035,27,9,89607,63455,0,14,11,77818,50864,0,30,8,133217,147164,23335,8,16,46859,46785,0,21,12,120023,52366,0,430825499,0
14,12,49338,47869,0,7,13,37559,47699,0,5,11,42533,88055,36175,19,8,57399,36550,0,2,9,50818,37608,0,233375962,7,12,38590,40780,0,14,9,50067,36063,0,7,9,41930,28999,850,19,7,85388,43501,0,6,10,41806,88304,48907,264687973,0
8,5,73661,29533,0,7,5,49213,38818,0,3,3,29098,69714,32650,0,2,13384,29004,0,15,7,52052,37431,0,441348085,1,6,44575,25487,0,1,6,25976,34262,0,4,6,60582,44390,0,5,6,30605,73151,30830,11,9,42762,40118,0,443266703,0
7,6,68914,64935,0,8,9,35827,38013,0,15,11,61013,40464,0,7,5,39626,82831,36195,10,10,34466,33250,0,476691743,15,11,74514,36523,0,2,9,21889,37597,0,10,9,55890,47864,0,4,10,55383,31919,6054,10,8,51817,85943,32565,388793743,0
12,8,60460,25705,0,10,12,36048,43676,0,0,6,27935,79431,95486,8,5,47847,30359,0,6,6,28473,27848,0,367814105,5,11,36253,42572,0,1,5,27576,36268,0,14,5,62917,58464,10825,14,7,37678,30527,0,3,8,42595,32932,0,295672637,0
6,14,41955,69961,0,11,8,97319,44635,0,9,12,84857,99774,50029,12,9,94133,62565,0,14,11,87817,71400,0,291547371,7,8,42824,37035,0,21,12,99339,38186,0,3,7,64664,117204,38225,12,13,78664,139069,132528,11,12,62844,74587,0,19786702,1
6,15,75100,54060,0,22,13,95737,59119,0,13,13,65920,56234,0,26,8,109048,47543,0,1,11,50797,78085,54649,312794726,10,16,68212,54678,0,13,11,36708,53885,0,13,9,63569,149093,20035,9,14,53790,58421,0,14,18,72762,80525,0,270014969,0
5,3,33037,36899,816,12,6,97025,54807,0,13,2,33079,20727,0,7,6,31166,36424,0,9,6,56931,37154,0,4114888571,5,8,31650,82179,40665,5,9,39624,36515,0,3,9,56291,41632,0,6,12,40207,58954,0,4,8,18239,31958,0,93610234,0
11,12,141117,89420,0,17,23,82370,103512,0,7,17,70867,143829,87015,12,19,97458,60323,0,19,21,146518,68354,0,296044067,26,14,127490,79943,0,32,17,123281,89924,0,9,13,83699,79936,0,15,13,78365,227361,52038,10,9,52603,61166,0,2052585431,0
2,6,52768,107542,14538,12,2,56862,24201,0,5,7,51866,33595,0,9,4,39633,22997,0,11,4,53663,77923,0,1114973279,10,8,59666,36369,0,2,10,32662,41887,0,2,7,41553,88830,39726,1,5,60080,45086,2205,8,9,72297,42620,15426,1765300381,0
5,7,63509,37697,0,10,6,40539,31961,2700,3,8,41137,67714,82288,5,8,61008,42330,0,8,11,76861,50244,0,721019111,8,6,67770,48699,0,8,5,36029,104577,97578,4,4,24162,37824,0,5,9,36648,41895,0,15,7,65337,50059,0,435133369,1
2,12,23128,87129,73663,8,16,49598,41903,0,15,15,60302,56406,0,2,20,17623,44046,0,0,18,21313,50051,2452,515802397,16,6,73547,35833,0,24,4,74161,30913,0,14,5,47418,29633,0,22,6,63851,37135,0,5,7,20558,38450,0,8673547361,1
20,10,115362,37556,0,8,18,75609,162468,44933,9,18,48672,67023,0,12,11,101233,63215,0,3,9,25016,43964,0,311858047,20,10,76368,118839,39114,21,6,83680,77082,0,9,12,63577,60208,0,7,10,45958,49840,0,9,14,104643,59923,0,363968861,1
9,1,28670,29883,0,7,2,24806,18923,0,10,4,31665,14879,0,2,2,15598,17937,0,8,2,29787,37215,13365,734788301,2,8,20455,20125,0,1,6,23040,40314,0,2,4,26994,20203,0,3,9,19951,23652,0,3,9,28397,26232,0,2380531381,0
5,5,34595,32888,0,13,3,90183,152936,33195,8,8,66006,35471,0,11,8,79564,40330,1660,11,7,40255,37799,0,207883543,10,14,42279,33796,0,1,9,59206,146726,16714,2,4,22623,31616,0,5,15,64384,63804,0,12,6,110932,34661,0,333973493,0
17,4,59446,21333,10169,7,3,13531,14407,0,17,2,64149,33966,0,20,2,73824,19952,0,4,4,28964,65224,0,1210211593,10,9,42391,90764,0,0,17,5575,38620,0,3,15,26720,34046,0,3,12,43098,35522,0,0,13,37098,40962,0,29201834281,0
14,5,67810,40683,0,8,3,46272,21020,0,20,4,98291,38618,0,21,4,79992,30775,0,4,5,45532,40402,0,973998437,2,12,15343,39445,0,9,14,49020,61676,0,3,13,45578,155828,46930,1,18,21477,42862,0,6,10,40080,38086,1288,472752293,0
15,7,59603,46043,0,5,4,39409,36523,0,7,3,45987,33045,0,18,7,49315,38025,0,7,5,40398,52403,0,5817806243,3,9,33878,39398,1823,10,11,44805,52379,0,7,8,36177,48382,0,5,13,46709,43784,0,1,11,44470,50769,3479,8555477773,0
2,7,19359,20604,0,6,6,43580,22461,0,1,9,15698,24070,0,3,7,18276,17118,0,1,5,29413,48327,10198,598205543,9,2,33393,20659,0,14,5,45078,24070,0,8,4,32521,28284,0,2,2,18458,45361,32742,1,0,3130,7952,0,344912515,1
9,7,43529,45358,0,8,12,36440,90203,3492,17,8,86844,61133,1945,9,10,64511,44707,18012,14,13,66071,89290,31349,2219390749,19,16,86363,43744,0,9,11,75266,92056,91524,3,11,20643,90553,36409,14,8,111937,34100,0,5,11,36482,36942,0,33140019,1
6,7,10241,28268,0,10,7,47541,26026,0,7,10,30881,35600,0,3,6,25557,72028,16832,12,10,43406,48719,0,1446762559,7,10,48512,31477,0,12,10,44161,38075,0,9,7,41480,30123,0,8,8,64201,30587,0,4,3,12287,27364,0,7294970297,1
3,7,7489,17572,0,10,9,17346,23799,0,3,8,25465,29370,0,5,8,16029,27461,0,1,8,8696,24928,0,8423200801,3,4,17228,12819,0,11,4,26293,13689,3283,10,6,23960,14321,0,4,3,17060,14020,0,12,6,38589,20176,0,2826412613,1
0,9,16677,21604,0,5,8,21691,28872,0,13,6,30803,27754,0,1,7,7293,16488,0,6,10,14472,25416,0,4946403221,12,5,29077,19349,0,5,6,23380,20516,0,8,4,23640,18426,0,9,5,19799,13801,0,6,5,24238,18844,0,9401641577,1
3,7,42529,99859,42481,15,12,72487,64298,0,8,8,59059,53267,0,3,2,7522,19409,0,8,12,27044,37016,0,993580453,11,8,55614,30745,0,11,10,80371,40278,0,2,9,34824,45464,0,9,5,47768,55524,53255,8,5,55272,36630,0,103071909,1
31,16,93541,69823,0,18,8,97619,86212,0,22,6,118590,86654,3126,14,9,57436,57884,0,7,16,32267,82960,0,13551419047,5,16,63586,77879,0,13,18,92443,79427,0,10,19,62687,51863,0,8,23,63560,126370,49251,19,16,101257,63914,0,2151424069,0
1,3,21634,35307,0,1,3,31751,54375,33965,8,7,52380,34020,0,5,9,39697,35491,0,1,6,13028,30539,0,57368631,3,3,52869,54017,53401,10,4,37135,26057,1200,9,4,37059,32200,0,0,2,21616,22949,0,6,3,41053,23267,0,276485367,1
6,8,48642,92775,80441,8,12,68619,45591,0,23,14,68126,80289,0,15,8,43521,46165,0,15,7,85881,58546,0,820079923,5,12,21816,41104,0,10,18,48906,51540,0,17,12,89070,60616,0,10,11,89156,50281,23550,7,14,74418,111248,69153,1236990329,0
6,15,26052,34254,0,13,13,44944,35446,0,4,15,37206,36393,0,3,9,24952,29980,0,11,8,50742,29587,0,1542156809,5,9,22416,46997,44681,19,4,39919,36324,0,9,10,32188,31434,0,8,6,23263,29918,0,19,8,47874,39223,0,833406449,1
2,5,16354,22205,21128,2,7,16614,24729,0,0,5,13345,14787,0,1,8,18824,22502,0,8,7,28804,19359,0,41486649,6,4,23547,17015,0,3,1,9405,33743,0,3,3,17885,13967,0,10,1,36173,11658,0,8,4,16572,17558,0,967282913,1
17,7,57531,42315,0,4,10,33641,81480,71695,11,10,54214,41264,0,15,8,65216,51812,0,6,11,47204,46337,0,393349295,6,8,51336,47916,0,3,12,27723,85774,114953,14,15,61384,45003,0,14,11,70071,47006,0,9,7,52694,32107,0,726350015,0
0,9,33284,46232,0,6,9,69229,127886,68181,12,10,67496,63753,0,18,8,112224,51427,0,5,13,44739,43651,0,49181345,14,7,66031,44235,0,4,9,43184,64929,2320,7,7,55100,120957,50645,13,12,104021,53301,0,11,6,64613,43550,0,969057529,0
0,9,15941,54564,0,4,9,42461,30319,0,12,12,72930,38556,0,7,9,58918,110123,30838,2,6,12836,24707,0,221345755,6,2,27142,21133,0,3,4,45639,63213,14893,17,4,68383,39645,0,5,5,61424,35586,0,14,10,55681,43509,0,1479758777,1
2,10,15307,25797,0,4,7,40351,26187,7025,1,5,20814,31471,0,2,10,29299,37021,0,4,9,32471,61698,25960,910495639,3,3,22091,30471,0,7,1,36249,4879,0,8,3,25125,58860,18766,10,4,48359,22441,0,13,2,50350,21591,0,303370507,1
24,10,107756,52584,0,4,7,36347,55958,0,2,11,18679,42375,0,11,9,83132,164534,67372,16,4,130029,67688,0,2111640323,12,9,93487,39176,0,9,19,86468,49795,0,9,9,66662,103747,300,8,8,94171,146666,0,3,6,42351,36559,0,2190199787,0
19,5,58756,38037,0,21,12,116503,74898,0,25,7,76441,49172,0,7,11,62040,61428,0,3,3,20231,30563,0,7695020551,12,12,57873,36857,0,1,10,24555,35059,1758,10,19,56021,79372,0,10,15,67373,53050,0,5,19,48276,129633,56081,3153121903,0
1,7,15108,20228,0,0,10,15664,37530,0,1,7,12997,30356,0,4,6,31325,53024,23294,4,9,20066,22868,0,292258483,6,3,34210,10774,0,4,1,13607,10841,0,13,1,32931,15106,0,11,4,39711,18683,0,5,2,43547,39756,6875,242349401,1
11,18,52393,53099,0,11,16,47793,54559,0,6,12,47299,44834,5175,21,13,83881,76189,0,6,11,47337,54982,0,1825089047,12,10,55799,40311,0,7,7,26001,47033,0,18,12,53060,53909,0,22,13,74462,69763,0,11,14,74341,67687,0,19944846023,0
4,10,17478,75485,13924,1,10,14394,36512,0,12,8,49668,38925,0,7,10,62997,41663,0,10,12,48176,48464,0,440712833,3,7,26981,61090,0,14,5,68506,30628,0,8,6,43858,25753,0,10,7,45394,25937,11526,15,8,56310,49305,0,415868371,1
24,7,81576,64889,0,20,6,85510,36887,0,12,6,79336,17087,0,12,10,63066,45764,0,6,4,51219,51095,1972,2966198017,0,9,19340,41791,0,4,17,28767,68053,0,7,17,38262,59820,0,5,12,43857,127490,0,16,17,85496,63553,0,323595821,0
1,12,23821,98371,69745,10,7,48625,38437,0,7,14,63278,51661,0,1,5,22221,30156,10858,10,10,57848,34324,16074,64140574,8,4,43634,104412,62620,5,10,39335,35724,0,18,7,83192,28462,0,14,5,50850,19511,0,3,3,35938,27684,400,445145789,1
31,16,158282,78742,0,3,18,40576,56606,0,9,13,75364,152545,23352,21,19,68430,81469,0,7,16,47795,92095,0,290057257,7,11,62640,51007,0,15,14,92785,57169,0,15,15,93894,56636,0,22,18,108216,58420,0,23,13,103922,167215,54620,177488467,0
3,10,36022,27160,0,3,6,33410,28173,0,0,8,24976,68817,5532,1,5,16653,15154,0,1,8,25544,75883,0,1585231697,14,3,62145,28239,0,4,2,26469,41081,7215,11,1,72583,28182,0,1,1,8180,6125,0,7,1,45810,32978,24325,6126747,1
1,8,39264,103572,47369,1,7,36301,102130,20755,1,12,22802,44201,0,0,2,9067,21666,0,1,10,53458,33615,7311,113681659,10,1,91820,24246,0,5,0,62251,59311,0,4,1,36461,26866,48649,16,0,87607,33681,0,4,2,27045,16788,0,3649625809,1
2,1,13317,7302,16672,8,1,37462,7180,0,9,1,34490,24464,0,5,1,22855,22200,0,0,0,3250,4262,0,3585985223,0,3,20997,10705,0,1,8,16316,21388,0,1,2,4907,9671,0,1,5,10550,28376,12180,1,6,12638,41234,10332,5363706,0
11,10,62665,35859,0,2,6,21864,34318,0,1,7,32190,111305,11862,8,14,52106,46839,0,6,11,44051,120015,25771,10186498,17,5,84515,31924,0,7,7,44067,38891,0,2,4,96664,68203,109958,7,5,34976,39479,86040,15,7,88114,34379,0,44367069,1
16,7,95365,33637,0,3,5,49847,32143,0,6,7,33362,44734,64510,9,10,85439,34315,0,23,5,105600,38288,0,419756647,0,9,2320,41552,0,16,14,78703,55189,0,3,11,32595,113493,35375,9,8,28612,105878,50992,5,15,40887,53501,0,60941573,0
9,7,36776,23303,0,7,10,26495,27037,0,2,7,10105,22470,0,5,10,13783,34734,0,1,6,11141,25490,0,9501321509,5,7,28621,18484,0,8,4,14851,18425,6060,7,4,32761,12843,800,4,3,19529,24715,21204,16,6,37272,23833,0,126025959,1
1,8,9638,25690,0,1,5,31080,63626,0,1,7,14231,14250,0,0,9,9651,26480,0,2,8,26342,32185,0,35450726071,4,1,17043,9101,0,5,3,20543,17669,0,10,1,44954,11400,0,14,0,49964,15566,0,4,0,29727,37206,3444,468230077,1
0,4,5432,15414,0,3,17,27196,35710,0,3,8,20780,35786,0,5,7,39004,96139,30394,7,7,43376,29345,0,926916289,15,5,55588,24182,0,8,2,40723,28458,3130,0,3,1489,15984,0,16,4,69691,37701,0,4,4,44903,29463,0,2473680991,1
10,8,58469,46122,0,12,14,77216,65444,0,4,15,59324,122259,23364,11,16,65021,66974,0,32,12,132925,49883,0,3865182781,7,15,65750,103043,0,25,14,117333,61898,0,4,13,20433,59100,0,18,16,60421,67708,0,11,11,86745,101206,94684,64983729,1
6,0,28135,35127,1124,2,2,12576,7973,0,16,2,57671,15821,0,3,5,12062,13304,0,4,0,28633,35917,16500,56147819,5,6,28135,20489,0,1,4,16760,12911,300,2,8,23231,32656,16553,0,7,8963,26483,0,1,6,31053,46538,0,296703777,0
4,6,71924,95493,50190,4,9,45324,51373,0,7,9,66408,46129,0,2,1,25444,18972,0,3,9,14157,52338,41350,4182006,8,8,62525,27306,0,4,1,32110,15369,9252,13,4,80389,37132,0,1,2,57482,84189,33034,8,5,31799,59261,23904,9919745,1
8,3,82491,27810,2860,0,5,32211,33841,0,4,6,58063,112086,32212,9,8,51275,107649,46595,5,6,43291,27559,0,16577665,7,3,88160,80627,93133,0,2,5410,24571,0,6,8,79764,31474,0,4,5,50194,91805,32114,11,8,85417,38854,0,15276459,0
2,11,14719,32302,0,9,10,41076,32045,0,1,8,14864,74774,44790,6,7,23615,32868,0,5,10,36342,29581,0,342479929,10,3,44139,16823,400,15,4,62324,17297,0,8,6,37355,59999,24623,4,7,22087,22395,0,9,3,35665,14102,0,501853451,1
9,5,33319,52132,0,15,13,56720,53021,0,15,7,97330,69976,0,15,8,69846,35908,0,8,4,38395,43169,0,10964673079,2,12,21594,48438,0,13,13,67483,68395,0,9,15,67042,51426,21715,7,13,41881,43389,0,6,9,56206,83962,48328,2442304133,0
13,4,39065,18068,0,7,6,39232,36229,0,5,5,55788,23472,4940,12,7,52378,33134,0,8,4,56877,36918,0,1637640317,7,10,35292,25713,0,8,7,42643,35365,5457,9,8,33518,43985,7150,1,11,21777,100478,73844,1,9,14591,37568,0,86850655,0
11,14,33007,43459,0,7,8,51969,113000,24263,3,3,8731,28877,0,18,16,63388,54166,0,22,12,82466,63771,0,310769627,8,12,61095,49290,15613,16,11,76049,49846,0,15,10,59638,46328,9389,13,13,63734,35943,0,1,15,42757,58154,0,2051082679,0
5,3,35933,32088,0,17,4,70372,30284,0,14,5,54471,23643,0,6,4,52688,76304,0,3,4,63619,50233,42043,1211691633,4,6,76315,40307,0,3,11,33137,76198,14229,3,7,22542,27259,0,5,12,40470,38060,0,5,9,40088,95259,15021,137544253,0
8,5,56506,21541,0,22,6,57280,33573,0,3,6,24553,24392,0,4,5,27611,50260,52983,3,6,14018,37206,37613,59056318,8,9,45638,73686,0,1,11,26663,28556,0,5,6,31601,23894,0,11,8,44244,28345,0,3,6,18826,25487,0,550550803,0
10,13,25434,60717,0,36,12,101171,97641,0,9,12,50122,42514,0,5,20,41175,67739,0,7,9,57354,108190,34144,118403434,3,13,58056,100522,36291,16,10,84517,43817,0,28,16,115626,47180,0,7,16,46978,44185,0,12,12,71624,39552,0,2669157437,1
4,7,28109,29010,2166,2,10,24088,32625,0,12,4,78068,32367,0,4,9,45024,78438,92259,7,12,51356,44479,0,81337174,9,9,48357,34655,3266,23,5,72907,46767,0,6,4,46286,84634,34892,0,6,3263,32345,0,4,5,46106,28244,0,850362083,1
24,11,82249,38654,0,8,13,95569,52305,0,12,14,47646,45625,0,12,11,74778,43093,0,17,8,90591,44460,0,6570749749,12,9,54542,132515,52290,15,18,74377,71163,0,11,18,22925,70830,0,1,12,13154,49874,0,18,17,59139,66451,0,57966418,0
8,10,80469,92566,0,7,7,59780,37196,0,11,7,52259,39631,0,3,2,25624,29187,0,6,7,49445,39979,0,5768519959,4,8,35336,35964,0,0,6,23949,31322,0,17,7,78721,34452,9706,5,8,47266,125940,55211,7,6,53287,39899,0,617271721,1
7,9,21475,26181,0,7,4,27900,24013,0,0,6,6269,16881,0,2,10,14719,30531,0,2,7,18837,47624,35224,617656369,8,5,32779,18034,0,12,3,35513,19128,0,7,5,23848,14953,0,6,4,22117,11252,0,3,2,30973,25833,32560,71521629,1
6,7,27074,71140,0,0,6,5591,20635,0,14,5,52353,30410,3100,6,6,49858,29610,0,19,7,56854,45938,0,880650209,9,7,47731,25129,0,5,7,32166,22972,1480,11,11,46987,37417,0,3,11,31709,76878,0,5,9,39140,29334,0,3901284773,0
15,17,56467,64787,0,9,11,59948,42966,0,5,11,39591,59971,0,16,17,46944,60870,0,7,10,53606,85283,5062,3427495999,22,10,89368,70068,0,5,6,29700,40524,0,15,15,70464,53844,3840,12,11,55575,49162,0,12,10,68770,42958,0,3056049431,1
3,8,27356,23029,14029,4,7,21834,17781,0,2,3,17816,15547,0,2,11,15731,23972,0,7,5,26172,37689,15544,1154515951,11,5,29168,17681,0,2,3,7119,32661,51982,2,4,10874,17370,0,11,5,35512,18378,0,8,1,35345,22819,1200,250352841,1
14,8,89853,57236,0,12,3,75985,107768,90632,21,10,84671,77621,0,4,6,34079,101084,44629,1,1,12602,33345,0,29930637,4,12,113541,46288,0,6,13,87367,66191,0,8,11,65660,36779,0,4,6,34521,49473,99499,5,10,75965,98459,52365,112979105,0
14,17,74417,59779,0,4,14,19826,61172,0,13,12,69963,46082,3000,17,14,65111,44155,0,11,11,87546,143701,124663,154120342,16,9,72385,59839,2129,13,17,55337,61596,4200,15,14,80606,61972,0,10,5,77334,80118,55017,13,14,69227,53338,0,107748033,1
19,9,59433,49676,0,3,13,23474,46703,0,1,7,19982,35778,0,21,14,54819,37742,0,8,9,25631,52664,0,6335341279,6,12,37549,43642,0,7,11,29641,50509,0,7,11,45426,28912,0,20,8,64767,30371,20644,12,10,45180,29905,0,1685858861,0
17,13,57688,49539,0,1,12,12614,36715,0,19,11,66124,48755,0,12,12,52116,110136,24742,10,18,66515,59419,0,1022022131,12,11,47853,42442,0,9,14,38261,45943,0,7,13,50895,63942,0,15,9,75637,50325,0,23,12,91918,52405,0,9172507231,0
9,3,35817,17522,0,6,1,32458,25225,0,11,1,39292,24580,0,4,1,34583,10665,0,5,3,11570,30061,23878,915372929,2,7,26565,60881,19681,0,8,12978,19956,0,1,6,16811,27155,0,5,7,32739,24748,0,1,7,18960,20980,11679,364765889,0
9,1,91049,21639,0,6,3,47503,63256,4758,14,4,68718,36509,0,2,2,16231,13769,0,13,4,55974,32305,0,413288869,3,12,29344,43549,0,1,6,19209,23406,0,3,9,30238,92234,35291,6,7,55295,32264,0,1,10,33392,88022,26577,55955471,0
7,15,32679,61088,0,23,11,100309,51665,0,17,11,133954,72331,0,12,12,101004,161218,77625,14,8,89147,127225,6239,96482113,9,14,72196,52956,0,25,18,82550,70173,0,11,16,105933,64107,0,5,14,82238,125377,40649,7,11,130610,144480,156111,12821259,0
